,Name,Neighborhood,Review Count,Rating,Type,Longitude,Latitude
0,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
1,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
2,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
3,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
4,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
5,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
6,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
7,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
8,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
9,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
10,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
11,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
12,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
13,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
14,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
15,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
16,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
17,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
18,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
19,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
20,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
21,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
22,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
23,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
24,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
25,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
26,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
27,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
28,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
29,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
30,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
31,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
32,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
33,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
34,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
35,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
36,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
37,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
38,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
39,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
40,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
43,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
44,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
45,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
46,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
47,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
48,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
49,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
50,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
51,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
52,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
53,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
54,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
55,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
56,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
57,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
58,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
59,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
60,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
61,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
62,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
63,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
64,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
65,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
66,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
67,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
68,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
69,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
70,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
71,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
72,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
73,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
74,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
75,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
76,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
77,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
78,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
79,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
80,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
